2025-07-23 19:15:17 | testclient | PUT /api/files/QmTest3f20e15a451ade1b1b5d/metadata | 404 | 0.000s | testclient
2025-07-23 19:15:42 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:16:45 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:17:09 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:17:28 | testclient | GET /api/files/ | 200 | 0.008s | testclient
2025-07-23 19:17:28 | testclient | PUT /api/files/QmTestCID123456789/metadata | 404 | 0.000s | testclient
2025-07-23 19:18:14 | testclient | GET /api/files/ | 200 | 0.006s | testclient
2025-07-23 19:18:14 | testclient | PUT /api/files/QmTestCID123456789 | 500 | 0.003s | testclient
2025-07-23 19:18:43 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:18:43 | testclient | PUT /api/files/QmTestCID123456789 | 200 | 0.015s | testclient
2025-07-23 19:19:01 | testclient | PUT /api/files/QmTestCID123456789 | 200 | 0.015s | testclient
2025-07-23 19:19:02 | testclient | PUT /api/files/QmTestCID123456789 | 200 | 0.014s | testclient
2025-07-23 19:19:02 | testclient | PUT /api/files/QmNonExistentCID123 | 404 | 0.003s | testclient
2025-07-23 19:19:02 | testclient | PUT /api/files/QmTestCID123456789 | 422 | 0.001s | testclient
2025-07-23 19:19:09 | testclient | POST /api/files/upload | 200 | 0.018s | testclient
2025-07-23 19:19:09 | testclient | POST /api/files/upload | 200 | 0.015s | testclient
2025-07-23 19:19:09 | testclient | POST /api/files/upload | 500 | 0.002s | testclient
2025-07-23 19:19:10 | testclient | POST /api/files/upload | 500 | 0.530s | testclient
2025-07-23 19:19:10 | testclient | POST /api/files/upload | 422 | 0.001s | testclient
2025-07-23 19:19:10 | testclient | GET /api/files/QmTestCID123456789 | 200 | 0.003s | testclient
2025-07-23 19:19:10 | testclient | GET /api/files/QmNonExistentCID123 | 404 | 0.002s | testclient
2025-07-23 19:19:10 | testclient | GET /api/files/QmTestCID123456789 | 500 | 0.002s | testclient
2025-07-23 19:19:11 | testclient | GET /api/files/ | 200 | 0.004s | testclient
2025-07-23 19:19:11 | testclient | GET /api/files/ | 200 | 0.003s | testclient
2025-07-23 19:19:11 | testclient | GET /api/files/ | 200 | 0.003s | testclient
